feature,importance
QualityPriceInteraction,0.1004120622592338
TotalSF,0.0868058322003126
OverallQual,0.06542895021760946
GrLivArea,0.056087658824191755
ExterQual,0.04097490264600266
KitchenQual,0.038407561297423974
TotalBsmtSF,0.03488789728642637
OverallQualityScore,0.03389535308825168
GarageCapacity,0.03202183299989532
GarageCars,0.03041061746780556
GarageArea,0.030138127585960094
TotalBathrooms,0.028805969847803415
YearBuilt,0.028277336115195534
1stFlrSF,0.02497885059291077
GarageYrBlt,0.02211886277153537
HouseAge,0.0210763830448755
BsmtQual,0.020358559084259462
FullBath,0.017917627033539416
Fireplaces,0.017210336344009876
YearRemodAdd,0.017103665140161303
2ndFlrSF,0.015260273200363713
LotAreaLog,0.013908671820429923
LotArea,0.013752740943860026
BsmtFinSF1,0.013188140127372874
TotRmsAbvGrd,0.012212470498560784
GarageFinish,0.01158675961389221
Foundation_PConc,0.01121687262329112
LotFrontage,0.00946343309024041
MasVnrArea,0.008963730340865035
OpenPorchSF,0.008735281774294664
BsmtFinType1,0.008090728062279567
BsmtUnfSF,0.00602381475487633
WoodDeckSF,0.005832888032736607
HeatingQC,0.005630722164381851
GarageType_Detchd,0.0050668599862345514
HalfBath,0.0037253046571489703
OverallCond,0.003557986198499703
MSSubClass,0.003533215073709226
BsmtExposure,0.0034771037056665977
Exterior1st_VinylSd,0.003476525655190761
BedroomAbvGr,0.003248472007686787
MSZoning_RM,0.0031654977279427887
Id,0.003047735273542338
HouseStyle_2Story,0.002956200808968712
CentralAir_N,0.0027004996325705965
Foundation_CBlock,0.002582674800465046
MoSold,0.0025565905166015676
MSZoning_RL,0.002485001737126921
LotShape,0.0023827691372059886
RecentRemodel,0.002371543195507514
Neighborhood_NridgHt,0.0022490568782118697
GarageType_Attchd,0.0021843250083926308
BsmtFullBath,0.002164145155977851
HasSecondFloor,0.0018475700434164824
CentralAir_Y,0.0018203637521576703
RoofStyle_Gable,0.0017986573599184552
Neighborhood_Crawfor,0.0016790828674364067
YrSold,0.0016765335718838573
LandSlope,0.0014381278626343533
RoofStyle_Hip,0.001262215244896356
PavedDrive,0.0012008155984872654
BldgType_1Fam,0.0011973514763371426
FireplaceQu,0.001153280061503833
KitchenAbvGr,0.0010925605372912124
LandContour_Lvl,0.0010094768573127037
HouseStyle_1Story,0.0009929759181214034
Neighborhood_NoRidge,0.000965209315418313
Neighborhood_OldTown,0.0009373803206627181
BsmtFinSF2,0.0009284909008517565
Exterior2nd_VinylSd,0.0008957849079094286
Neighborhood_Edwards,0.0008942327229971318
Functional,0.000824865183634086
Exterior1st_BrkFace,0.000794395477194285
MasVnrType_BrkFace,0.000769566996077932
SaleCondition_Normal,0.0007495633662521501
Condition1_Norm,0.0007039803349607094
MasVnrType_Stone,0.0006603340644076334
EnclosedPorch,0.0006537712019271382
ExterCond,0.0006295214774849081
Foundation_BrkTil,0.0006198014755590313
Neighborhood_CollgCr,0.0006054262923733356
LotConfig_Inside,0.0005991392982956895
Electrical_SBrkr,0.0005820934877228025
SaleType_New,0.0005504443131060336
SaleCondition_Partial,0.0005453689291198704
LandContour_Bnk,0.0005412857209587234
Neighborhood_NAmes,0.0005287418507981171
BldgType_Duplex,0.0005022598363488591
Neighborhood_Somerst,0.0004924699587027184
BsmtCond,0.00048766615648354616
ScreenPorch,0.00048632345377981823
LandContour_Low,0.00048306973264534314
Exterior2nd_Wd Sdng,0.0004628855099814521
Neighborhood_ClearCr,0.0004413907697493917
Exterior1st_HdBoard,0.00042819203597002615
SaleCondition_Abnorml,0.00042427485804024566
BsmtFinType2,0.0004233750978533606
SaleType_WD,0.0004188336861212231
GarageType_BuiltIn,0.0004141471541136024
Neighborhood_IDOTRR,0.0004139661736490491
LotConfig_Corner,0.00040549884793142013
Exterior1st_Wd Sdng,0.0004039832987731802
BldgType_TwnhsE,0.0003914739266161736
Exterior2nd_HdBoard,0.00038996783645521685
Neighborhood_Gilbert,0.0003843633136223665
Exterior2nd_Plywood,0.0003735503446498719
HouseStyle_1.5Fin,0.0003726767789384486
LandContour_HLS,0.0003683869065750586
Condition1_Feedr,0.00036731021450706964
LotConfig_CulDSac,0.00035927772946254465
Exterior1st_CemntBd,0.00035522933588861524
Neighborhood_NWAmes,0.00035138261206447415
Neighborhood_StoneBr,0.0003454307299318488
MSZoning_FV,0.00033321683761872303
MSZoning_C (all),0.0003041061109902819
Exterior1st_MetalSd,0.00030378144495637094
Exterior2nd_CmentBd,0.0002917841283859461
RoofMatl_CompShg,0.0002775675170532146
RoofStyle_Flat,0.00027119435150105666
Exterior2nd_MetalSd,0.00025901018476704737
Exterior1st_Plywood,0.0002558412052697074
Neighborhood_Sawyer,0.00025513476271716076
Neighborhood_Timber,0.0002410642577020482
Heating_GasA,0.00023702765338087082
HasBasement,0.00023518195573064545
Neighborhood_MeadowV,0.00020821905203382912
BldgType_Twnhs,0.00019512844692976927
SaleCondition_Family,0.00019416839618507776
Alley,0.00018409818643207076
Fence_MnPrv,0.00018158987540973235
Fence_GdWo,0.00017273287228776002
BsmtHalfBath,0.00017223639962760733
GarageQual,0.0001662891091430916
HouseStyle_SLvl,0.00015496102182620223
Heating_GasW,0.0001541533077612323
Electrical_FuseA,0.0001508298826115867
